"COD_MUNICIPIO","COD_UF","NOME_UF","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","Ano","INDICADOR_201"
250350,25,"Paraíba",2503,"Agreste Paraibano",250313,"Curimataú Oriental","Cacimba de Dentro",2000,64.36
250350,25,"Paraíba",2503,"Agreste Paraibano",250313,"Curimataú Oriental","Cacimba de Dentro",1991,57.4
250355,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Cacimbas",1991,51.87
250355,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Cacimbas",2010,65.3
250355,25,"Paraíba",2501,"Sertão Paraibano",250107,"Serra do Teixeira","Cacimbas",2000,58.3
250360,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Caiçara",1991,54.51
250360,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Caiçara",2000,61.47
250360,25,"Paraíba",2503,"Agreste Paraibano",250316,"Guarabira","Caiçara",2010,68.96
250370,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","Cajazeiras",2000,68.02
250370,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","Cajazeiras",1991,65.29
250370,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","Cajazeiras",2010,73.87
250375,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Cajazeirinhas",1991,57.18
250375,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Cajazeirinhas",2010,71.35
250375,25,"Paraíba",2501,"Sertão Paraibano",250103,"Sousa","Cajazeirinhas",2000,64.36
250380,25,"Paraíba",2503,"Agreste Paraibano",250318,"Itabaiana","Caldas Brandão",2000,60.56
250380,25,"Paraíba",2503,"Agreste Paraibano",250318,"Itabaiana","Caldas Brandão",1991,53.46
250380,25,"Paraíba",2503,"Agreste Paraibano",250318,"Itabaiana","Caldas Brandão",2010,68.39
250390,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Camalaú",1991,59.07
250390,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Camalaú",2010,71.18
250390,25,"Paraíba",2502,"Borborema",250210,"Cariri Ocidental","Camalaú",2000,63.24
250400,25,"Paraíba",2503,"Agreste Paraibano",250317,"Campina Grande","Campina Grande",2000,68.02
250400,25,"Paraíba",2503,"Agreste Paraibano",250317,"Campina Grande","Campina Grande",1991,60.13
250400,25,"Paraíba",2503,"Agreste Paraibano",250317,"Campina Grande","Campina Grande",2010,73.73
250403,25,"Paraíba",2504,"Mata Paraibana",250420,"Litoral Norte","Capim",1991,52.65
250403,25,"Paraíba",2504,"Mata Paraibana",250420,"Litoral Norte","Capim",2010,68.69
250403,25,"Paraíba",2504,"Mata Paraibana",250420,"Litoral Norte","Capim",2000,61
250407,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Caraúbas",2000,62.59
250407,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Caraúbas",1991,57.18
250407,25,"Paraíba",2502,"Borborema",250211,"Cariri Oriental","Caraúbas",2010,67.61
250410,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","Carrapateira",1991,61.76
250410,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","Carrapateira",2010,70.91
250410,25,"Paraíba",2501,"Sertão Paraibano",250102,"Cajazeiras","Carrapateira",2000,63.24
250415,25,"Paraíba",2503,"Agreste Paraibano",250313,"Curimataú Oriental","Casserengue",1991,54.77
250415,25,"Paraíba",2503,"Agreste Paraibano",250313,"Curimataú Oriental","Casserengue",2000,61.33
250415,25,"Paraíba",2503,"Agreste Paraibano",250313,"Curimataú Oriental","Casserengue",2010,68.81
250420,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Catingueira",2000,62.13
250420,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Catingueira",1991,56.78
250420,25,"Paraíba",2501,"Sertão Paraibano",250105,"Piancó","Catingueira",2010,70.17
