"indicador","ano","min","q4neg","q3neg","q2neg","q0","q2","q3","q4","max"
"INDICADOR_106",2008,0,0,0.00023878161487793,0.00674525471493125,0.0361490098093991,0.100034101349769,0.176212864766401,0.432930384610089,0.46912559067714
"INDICADOR_106",2009,0,0,0.00192210955513968,0.00679594329629488,0.0309248695256215,0.0704361879710912,0.151948614432523,0.391417345021022,0.397087416690313
"INDICADOR_106",2010,0,0,0.000628292727570228,0.00556312343346025,0.0292633249641762,0.0857914811770596,0.265048004155308,0.398987699574461,0.409502564806108
"INDICADOR_106",2011,0.000323378170837764,0.000514288597089167,0.00249429108595729,0.0151587542434015,0.0468142411659979,0.0960747609892357,0.246323911890777,0.34583612828653,0.36202748019447
"INDICADOR_106",2012,0.000182587340462715,0.000475870230869101,0.00302930412609565,0.0187210305048079,0.0505327722863604,0.120148251142559,0.318350704707966,0.39845742131731,0.401756196829091
"INDICADOR_107",2007,0,0,0,0.239930142213718,0.819725425440718,1,1,1,1
"INDICADOR_107",2008,0,0,0,0.221626732225687,0.85917860090474,0.999993604120988,1,1,1
"INDICADOR_107",2009,0,0,0,0.237857178080387,0.907005807379791,1,1,1,1
"INDICADOR_107",2010,0,0,0,0.332502966098645,0.879808646251635,0.999354769794582,1,1,1
"INDICADOR_107",2011,0,0,0.0087585071524423,0.308376566121824,0.869533387536154,1,1,1,1
"INDICADOR_107",2012,0,0,0.00716181005595177,0.295160479516445,0.858827210887146,0.996218598925265,1,1,1
"INDICADOR_108",2007,0,0,0,0,0.0189527766927019,0.606989213436471,0.924495825261542,0.997667599973949,1
"INDICADOR_108",2008,0,0,0,0,0.031422584416202,0.644020989313476,0.941151275953903,0.992184360488865,1
"INDICADOR_108",2009,0,0,0,0,0.0236569939215774,0.633363411941673,0.945430803620524,0.996102054234931,1
"INDICADOR_108",2010,0,0,0,0,0.00915866725205057,0.541713960221664,0.886199137097065,0.995131362730377,1
"INDICADOR_108",2011,0,0,0,0,0.027900040026938,0.578608965849278,0.875604506928438,0.996281048166049,1
"INDICADOR_108",2012,0,0,0,0,0.0428307683147601,0.552180258677408,0.865608663336475,0.997334786559547,1
"INDICADOR_109",2007,0,0,0,0,0,0,0.192077493862241,0.369478614853089,0.375604118142332
"INDICADOR_109",2008,0,0,0,0,0,0,0.0969679083002993,0.24522631972207,0.264758522272361
"INDICADOR_109",2009,0,0,0,0,0,0.000152554266869983,0.0779730825605385,0.378508161091747,0.39236244055859
"INDICADOR_109",2010,0,0,0,0,0,0.00318403902624008,0.0873842597269141,0.236280883142616,0.244055933510865
"INDICADOR_109",2011,0,0,0,0,0,0.0054273319235015,0.136651806878298,0.273613263464793,0.274512400858528
"INDICADOR_109",2012,0,0,0,0,0,0.00831544151716611,0.112238751575389,0.321881803882963,0.327508380108043
"INDICADOR_110",2007,0,0,0,0,0,0.00394070671621588,0.190228399207217,0.325782224411143,0.344782979754529
"INDICADOR_110",2008,0,0,0,0,0,0.00642591003438651,0.155611151225241,0.277100468890447,0.283867241460084
"INDICADOR_110",2009,0,0,0,0,0,0.00463893259821503,0.178321495763727,0.301419470781888,0.312525930740948
"INDICADOR_110",2010,0,0,0,0,0,0.00286308349009519,0.0528765703329721,0.190567936492821,0.19149795445647
"INDICADOR_110",2011,0,0,0,0,0,0.00365373274316516,0.0444096888589352,0.136667576522874,0.141382484539227
"INDICADOR_110",2012,0,0,0,0,0,0.00398106506013551,0.0518686072196619,0.167374102768896,0.177151398712557
"INDICADOR_111",2007,0,0,0,0,0.00895180957578126,0.0208662122998393,0.0571634190898425,0.0997789048436364,0.104459204143135
"INDICADOR_111",2008,0,0,0,0,0.00700161649220244,0.0208359039889039,0.0611708216704568,0.130017876317853,0.132321291558151
"INDICADOR_111",2009,0,0,0,0,0.00430487495796907,0.0199878789609791,0.0829640240516773,0.124141708131821,0.124284951225101
"INDICADOR_111",2010,0,0,0,0,0.00731361619554038,0.0238898924909091,0.0943517207015524,0.299676230136471,0.326357159022152
"INDICADOR_111",2011,0,0,0,0,0.00690517882021683,0.0247471929442364,0.0843328799512375,0.209683843828292,0.228512221344698
"INDICADOR_111",2012,0,0,0,0,0.00799350273200954,0.0230168380571501,0.0847868679034662,0.189163998168772,0.191213512213361
"INDICADOR_112",2007,0,0,0,0,0,0.0309977406259168,0.635412541392502,0.746384526729431,0.752195964088385
"INDICADOR_112",2008,0,0,0,0,0,0.00260217659714791,0.647295735240871,0.808613588343794,0.811132991835255
"INDICADOR_112",2009,0,0,0,0,0,0,0.670817358189591,0.780554347776155,0.786871206832293
"INDICADOR_112",2010,0,0,0,0,0,0.00288067968800092,0.673647385632593,0.772255209001931,0.772293703038499
"INDICADOR_112",2011,0,0,0,0,0,0.00181439367669345,0.679237376522175,0.832310912892209,0.843594951113203
"INDICADOR_112",2012,0,0,0,0,0,0.00358101301341099,0.684836611647435,0.76776734222422,0.772156896064797
"INDICADOR_113",2007,0.13035243354582,0.135623175777965,0.184804861301745,0.383182690920739,0.540549956442649,0.643227577538485,0.726051824480141,0.795595109585682,0.798270027812582
"INDICADOR_113",2008,0.112649609940822,0.11628041674568,0.215839526739166,0.378894319564017,0.513071362567528,0.631129566220198,0.690811595783618,0.749082279584564,0.753083494218106
"INDICADOR_113",2009,0.151794108769,0.164226315386293,0.285203781533655,0.454966379699568,0.579989801941015,0.688900726806996,0.74869569818323,0.822603474386051,0.834030698296216
"INDICADOR_113",2010,0.238971812694943,0.239926971186108,0.30716309091787,0.479454665313377,0.585135052562066,0.692572077666743,0.771407515599122,0.839128239152077,0.848133562837225
